DateKey,Date,Day,Month,MonthNo,Quarter,Year
20190101,1/1/2019,Tuesday,Jan,1,1,2019
20190102,1/2/2019,Wednesday,Jan,1,1,2019
20190103,1/3/2019,Thursday,Jan,1,1,2019
20190104,1/4/2019,Friday,Jan,1,1,2019
20190105,1/5/2019,Saturday,Jan,1,1,2019
20190106,1/6/2019,Sunday,Jan,1,1,2019
20190107,1/7/2019,Monday,Jan,1,1,2019
20190108,1/8/2019,Tuesday,Jan,1,1,2019
20190109,1/9/2019,Wednesday,Jan,1,1,2019
20190110,1/10/2019,Thursday,Jan,1,1,2019
20190111,1/11/2019,Friday,Jan,1,1,2019
20190112,1/12/2019,Saturday,Jan,1,1,2019
20190113,1/13/2019,Sunday,Jan,1,1,2019
20190114,1/14/2019,Monday,Jan,1,1,2019
20190115,1/15/2019,Tuesday,Jan,1,1,2019
20190116,1/16/2019,Wednesday,Jan,1,1,2019
20190117,1/17/2019,Thursday,Jan,1,1,2019
20190118,1/18/2019,Friday,Jan,1,1,2019
20190119,1/19/2019,Saturday,Jan,1,1,2019
20190120,1/20/2019,Sunday,Jan,1,1,2019
20190121,1/21/2019,Monday,Jan,1,1,2019
20190122,1/22/2019,Tuesday,Jan,1,1,2019
20190123,1/23/2019,Wednesday,Jan,1,1,2019
20190124,1/24/2019,Thursday,Jan,1,1,2019
20190125,1/25/2019,Friday,Jan,1,1,2019
20190126,1/26/2019,Saturday,Jan,1,1,2019
20190127,1/27/2019,Sunday,Jan,1,1,2019
20190128,1/28/2019,Monday,Jan,1,1,2019
20190129,1/29/2019,Tuesday,Jan,1,1,2019
20190130,1/30/2019,Wednesday,Jan,1,1,2019
20190131,1/31/2019,Thursday,Jan,1,1,2019
20190201,2/1/2019,Friday,Feb,2,1,2019
20190202,2/2/2019,Saturday,Feb,2,1,2019
20190203,2/3/2019,Sunday,Feb,2,1,2019
20190204,2/4/2019,Monday,Feb,2,1,2019
20190205,2/5/2019,Tuesday,Feb,2,1,2019
20190206,2/6/2019,Wednesday,Feb,2,1,2019
20190207,2/7/2019,Thursday,Feb,2,1,2019
20190208,2/8/2019,Friday,Feb,2,1,2019
20190209,2/9/2019,Saturday,Feb,2,1,2019
20190210,2/10/2019,Sunday,Feb,2,1,2019
20190211,2/11/2019,Monday,Feb,2,1,2019
20190212,2/12/2019,Tuesday,Feb,2,1,2019
20190213,2/13/2019,Wednesday,Feb,2,1,2019
20190214,2/14/2019,Thursday,Feb,2,1,2019
20190215,2/15/2019,Friday,Feb,2,1,2019
20190216,2/16/2019,Saturday,Feb,2,1,2019
20190217,2/17/2019,Sunday,Feb,2,1,2019
20190218,2/18/2019,Monday,Feb,2,1,2019
20190219,2/19/2019,Tuesday,Feb,2,1,2019
20190220,2/20/2019,Wednesday,Feb,2,1,2019
20190221,2/21/2019,Thursday,Feb,2,1,2019
20190222,2/22/2019,Friday,Feb,2,1,2019
20190223,2/23/2019,Saturday,Feb,2,1,2019
20190224,2/24/2019,Sunday,Feb,2,1,2019
20190225,2/25/2019,Monday,Feb,2,1,2019
20190226,2/26/2019,Tuesday,Feb,2,1,2019
20190227,2/27/2019,Wednesday,Feb,2,1,2019
20190228,2/28/2019,Thursday,Feb,2,1,2019
20190301,3/1/2019,Friday,Mar,3,1,2019
20190302,3/2/2019,Saturday,Mar,3,1,2019
20190303,3/3/2019,Sunday,Mar,3,1,2019
20190304,3/4/2019,Monday,Mar,3,1,2019
20190305,3/5/2019,Tuesday,Mar,3,1,2019
20190306,3/6/2019,Wednesday,Mar,3,1,2019
20190307,3/7/2019,Thursday,Mar,3,1,2019
20190308,3/8/2019,Friday,Mar,3,1,2019
20190309,3/9/2019,Saturday,Mar,3,1,2019
20190310,3/10/2019,Sunday,Mar,3,1,2019
20190311,3/11/2019,Monday,Mar,3,1,2019
20190312,3/12/2019,Tuesday,Mar,3,1,2019
20190313,3/13/2019,Wednesday,Mar,3,1,2019
20190314,3/14/2019,Thursday,Mar,3,1,2019
20190315,3/15/2019,Friday,Mar,3,1,2019
20190316,3/16/2019,Saturday,Mar,3,1,2019
20190317,3/17/2019,Sunday,Mar,3,1,2019
20190318,3/18/2019,Monday,Mar,3,1,2019
20190319,3/19/2019,Tuesday,Mar,3,1,2019
20190320,3/20/2019,Wednesday,Mar,3,1,2019
20190321,3/21/2019,Thursday,Mar,3,1,2019
20190322,3/22/2019,Friday,Mar,3,1,2019
20190323,3/23/2019,Saturday,Mar,3,1,2019
20190324,3/24/2019,Sunday,Mar,3,1,2019
20190325,3/25/2019,Monday,Mar,3,1,2019
20190326,3/26/2019,Tuesday,Mar,3,1,2019
20190327,3/27/2019,Wednesday,Mar,3,1,2019
20190328,3/28/2019,Thursday,Mar,3,1,2019
20190329,3/29/2019,Friday,Mar,3,1,2019
20190330,3/30/2019,Saturday,Mar,3,1,2019
20190331,3/31/2019,Sunday,Mar,3,1,2019
20190401,4/1/2019,Monday,Apr,4,2,2019
20190402,4/2/2019,Tuesday,Apr,4,2,2019
20190403,4/3/2019,Wednesday,Apr,4,2,2019
20190404,4/4/2019,Thursday,Apr,4,2,2019
20190405,4/5/2019,Friday,Apr,4,2,2019
20190406,4/6/2019,Saturday,Apr,4,2,2019
20190407,4/7/2019,Sunday,Apr,4,2,2019
20190408,4/8/2019,Monday,Apr,4,2,2019
20190409,4/9/2019,Tuesday,Apr,4,2,2019
20190410,4/10/2019,Wednesday,Apr,4,2,2019
20190411,4/11/2019,Thursday,Apr,4,2,2019
20190412,4/12/2019,Friday,Apr,4,2,2019
20190413,4/13/2019,Saturday,Apr,4,2,2019
20190414,4/14/2019,Sunday,Apr,4,2,2019
20190415,4/15/2019,Monday,Apr,4,2,2019
20190416,4/16/2019,Tuesday,Apr,4,2,2019
20190417,4/17/2019,Wednesday,Apr,4,2,2019
20190418,4/18/2019,Thursday,Apr,4,2,2019
20190419,4/19/2019,Friday,Apr,4,2,2019
20190420,4/20/2019,Saturday,Apr,4,2,2019
20190421,4/21/2019,Sunday,Apr,4,2,2019
20190422,4/22/2019,Monday,Apr,4,2,2019
20190423,4/23/2019,Tuesday,Apr,4,2,2019
20190424,4/24/2019,Wednesday,Apr,4,2,2019
20190425,4/25/2019,Thursday,Apr,4,2,2019
20190426,4/26/2019,Friday,Apr,4,2,2019
20190427,4/27/2019,Saturday,Apr,4,2,2019
20190428,4/28/2019,Sunday,Apr,4,2,2019
20190429,4/29/2019,Monday,Apr,4,2,2019
20190430,4/30/2019,Tuesday,Apr,4,2,2019
20190501,5/1/2019,Wednesday,May,5,2,2019
20190502,5/2/2019,Thursday,May,5,2,2019
20190503,5/3/2019,Friday,May,5,2,2019
20190504,5/4/2019,Saturday,May,5,2,2019
20190505,5/5/2019,Sunday,May,5,2,2019
20190506,5/6/2019,Monday,May,5,2,2019
20190507,5/7/2019,Tuesday,May,5,2,2019
20190508,5/8/2019,Wednesday,May,5,2,2019
20190509,5/9/2019,Thursday,May,5,2,2019
20190510,5/10/2019,Friday,May,5,2,2019
20190511,5/11/2019,Saturday,May,5,2,2019
20190512,5/12/2019,Sunday,May,5,2,2019
20190513,5/13/2019,Monday,May,5,2,2019
20190514,5/14/2019,Tuesday,May,5,2,2019
20190515,5/15/2019,Wednesday,May,5,2,2019
20190516,5/16/2019,Thursday,May,5,2,2019
20190517,5/17/2019,Friday,May,5,2,2019
20190518,5/18/2019,Saturday,May,5,2,2019
20190519,5/19/2019,Sunday,May,5,2,2019
20190520,5/20/2019,Monday,May,5,2,2019
20190521,5/21/2019,Tuesday,May,5,2,2019
20190522,5/22/2019,Wednesday,May,5,2,2019
20190523,5/23/2019,Thursday,May,5,2,2019
20190524,5/24/2019,Friday,May,5,2,2019
20190525,5/25/2019,Saturday,May,5,2,2019
20190526,5/26/2019,Sunday,May,5,2,2019
20190527,5/27/2019,Monday,May,5,2,2019
20190528,5/28/2019,Tuesday,May,5,2,2019
20190529,5/29/2019,Wednesday,May,5,2,2019
20190530,5/30/2019,Thursday,May,5,2,2019
20190531,5/31/2019,Friday,May,5,2,2019
20190601,6/1/2019,Saturday,Jun,6,2,2019
20190602,6/2/2019,Sunday,Jun,6,2,2019
20190603,6/3/2019,Monday,Jun,6,2,2019
20190604,6/4/2019,Tuesday,Jun,6,2,2019
20190605,6/5/2019,Wednesday,Jun,6,2,2019
20190606,6/6/2019,Thursday,Jun,6,2,2019
20190607,6/7/2019,Friday,Jun,6,2,2019
20190608,6/8/2019,Saturday,Jun,6,2,2019
20190609,6/9/2019,Sunday,Jun,6,2,2019
20190610,6/10/2019,Monday,Jun,6,2,2019
20190611,6/11/2019,Tuesday,Jun,6,2,2019
20190612,6/12/2019,Wednesday,Jun,6,2,2019
20190613,6/13/2019,Thursday,Jun,6,2,2019
20190614,6/14/2019,Friday,Jun,6,2,2019
20190615,6/15/2019,Saturday,Jun,6,2,2019
20190616,6/16/2019,Sunday,Jun,6,2,2019
20190617,6/17/2019,Monday,Jun,6,2,2019
20190618,6/18/2019,Tuesday,Jun,6,2,2019
20190619,6/19/2019,Wednesday,Jun,6,2,2019
20190620,6/20/2019,Thursday,Jun,6,2,2019
20190621,6/21/2019,Friday,Jun,6,2,2019
20190622,6/22/2019,Saturday,Jun,6,2,2019
20190623,6/23/2019,Sunday,Jun,6,2,2019
20190624,6/24/2019,Monday,Jun,6,2,2019
20190625,6/25/2019,Tuesday,Jun,6,2,2019
20190626,6/26/2019,Wednesday,Jun,6,2,2019
20190627,6/27/2019,Thursday,Jun,6,2,2019
20190628,6/28/2019,Friday,Jun,6,2,2019
20190629,6/29/2019,Saturday,Jun,6,2,2019
20190630,6/30/2019,Sunday,Jun,6,2,2019
20190701,7/1/2019,Monday,Jul,7,3,2019
20190702,7/2/2019,Tuesday,Jul,7,3,2019
20190703,7/3/2019,Wednesday,Jul,7,3,2019
20190704,7/4/2019,Thursday,Jul,7,3,2019
20190705,7/5/2019,Friday,Jul,7,3,2019
20190706,7/6/2019,Saturday,Jul,7,3,2019
20190707,7/7/2019,Sunday,Jul,7,3,2019
20190708,7/8/2019,Monday,Jul,7,3,2019
20190709,7/9/2019,Tuesday,Jul,7,3,2019
20190710,7/10/2019,Wednesday,Jul,7,3,2019
20190711,7/11/2019,Thursday,Jul,7,3,2019
20190712,7/12/2019,Friday,Jul,7,3,2019
20190713,7/13/2019,Saturday,Jul,7,3,2019
20190714,7/14/2019,Sunday,Jul,7,3,2019
20190715,7/15/2019,Monday,Jul,7,3,2019
20190716,7/16/2019,Tuesday,Jul,7,3,2019
20190717,7/17/2019,Wednesday,Jul,7,3,2019
20190718,7/18/2019,Thursday,Jul,7,3,2019
20190719,7/19/2019,Friday,Jul,7,3,2019
20190720,7/20/2019,Saturday,Jul,7,3,2019
20190721,7/21/2019,Sunday,Jul,7,3,2019
20190722,7/22/2019,Monday,Jul,7,3,2019
20190723,7/23/2019,Tuesday,Jul,7,3,2019
20190724,7/24/2019,Wednesday,Jul,7,3,2019
20190725,7/25/2019,Thursday,Jul,7,3,2019
20190726,7/26/2019,Friday,Jul,7,3,2019
20190727,7/27/2019,Saturday,Jul,7,3,2019
20190728,7/28/2019,Sunday,Jul,7,3,2019
20190729,7/29/2019,Monday,Jul,7,3,2019
20190730,7/30/2019,Tuesday,Jul,7,3,2019
20190731,7/31/2019,Wednesday,Jul,7,3,2019
20190801,8/1/2019,Thursday,Aug,8,3,2019
20190802,8/2/2019,Friday,Aug,8,3,2019
20190803,8/3/2019,Saturday,Aug,8,3,2019
20190804,8/4/2019,Sunday,Aug,8,3,2019
20190805,8/5/2019,Monday,Aug,8,3,2019
20190806,8/6/2019,Tuesday,Aug,8,3,2019
20190807,8/7/2019,Wednesday,Aug,8,3,2019
20190808,8/8/2019,Thursday,Aug,8,3,2019
20190809,8/9/2019,Friday,Aug,8,3,2019
20190810,8/10/2019,Saturday,Aug,8,3,2019
20190811,8/11/2019,Sunday,Aug,8,3,2019
20190812,8/12/2019,Monday,Aug,8,3,2019
20190813,8/13/2019,Tuesday,Aug,8,3,2019
20190814,8/14/2019,Wednesday,Aug,8,3,2019
20190815,8/15/2019,Thursday,Aug,8,3,2019
20190816,8/16/2019,Friday,Aug,8,3,2019
20190817,8/17/2019,Saturday,Aug,8,3,2019
20190818,8/18/2019,Sunday,Aug,8,3,2019
20190819,8/19/2019,Monday,Aug,8,3,2019
20190820,8/20/2019,Tuesday,Aug,8,3,2019
20190821,8/21/2019,Wednesday,Aug,8,3,2019
20190822,8/22/2019,Thursday,Aug,8,3,2019
20190823,8/23/2019,Friday,Aug,8,3,2019
20190824,8/24/2019,Saturday,Aug,8,3,2019
20190825,8/25/2019,Sunday,Aug,8,3,2019
20190826,8/26/2019,Monday,Aug,8,3,2019
20190827,8/27/2019,Tuesday,Aug,8,3,2019
20190828,8/28/2019,Wednesday,Aug,8,3,2019
20190829,8/29/2019,Thursday,Aug,8,3,2019
20190830,8/30/2019,Friday,Aug,8,3,2019
20190831,8/31/2019,Saturday,Aug,8,3,2019
20190901,9/1/2019,Sunday,Sep,9,3,2019
20190902,9/2/2019,Monday,Sep,9,3,2019
20190903,9/3/2019,Tuesday,Sep,9,3,2019
20190904,9/4/2019,Wednesday,Sep,9,3,2019
20190905,9/5/2019,Thursday,Sep,9,3,2019
20190906,9/6/2019,Friday,Sep,9,3,2019
20190907,9/7/2019,Saturday,Sep,9,3,2019
20190908,9/8/2019,Sunday,Sep,9,3,2019
20190909,9/9/2019,Monday,Sep,9,3,2019
20190910,9/10/2019,Tuesday,Sep,9,3,2019
20190911,9/11/2019,Wednesday,Sep,9,3,2019
20190912,9/12/2019,Thursday,Sep,9,3,2019
20190913,9/13/2019,Friday,Sep,9,3,2019
20190914,9/14/2019,Saturday,Sep,9,3,2019
20190915,9/15/2019,Sunday,Sep,9,3,2019
20190916,9/16/2019,Monday,Sep,9,3,2019
20190917,9/17/2019,Tuesday,Sep,9,3,2019
20190918,9/18/2019,Wednesday,Sep,9,3,2019
20190919,9/19/2019,Thursday,Sep,9,3,2019
20190920,9/20/2019,Friday,Sep,9,3,2019
20190921,9/21/2019,Saturday,Sep,9,3,2019
20190922,9/22/2019,Sunday,Sep,9,3,2019
20190923,9/23/2019,Monday,Sep,9,3,2019
20190924,9/24/2019,Tuesday,Sep,9,3,2019
20190925,9/25/2019,Wednesday,Sep,9,3,2019
20190926,9/26/2019,Thursday,Sep,9,3,2019
20190927,9/27/2019,Friday,Sep,9,3,2019
20190928,9/28/2019,Saturday,Sep,9,3,2019
20190929,9/29/2019,Sunday,Sep,9,3,2019
20190930,9/30/2019,Monday,Sep,9,3,2019
20191001,10/1/2019,Tuesday,Oct,10,4,2019
20191002,10/2/2019,Wednesday,Oct,10,4,2019
20191003,10/3/2019,Thursday,Oct,10,4,2019
20191004,10/4/2019,Friday,Oct,10,4,2019
20191005,10/5/2019,Saturday,Oct,10,4,2019
20191006,10/6/2019,Sunday,Oct,10,4,2019
20191007,10/7/2019,Monday,Oct,10,4,2019
20191008,10/8/2019,Tuesday,Oct,10,4,2019
20191009,10/9/2019,Wednesday,Oct,10,4,2019
20191010,10/10/2019,Thursday,Oct,10,4,2019
20191011,10/11/2019,Friday,Oct,10,4,2019
20191012,10/12/2019,Saturday,Oct,10,4,2019
20191013,10/13/2019,Sunday,Oct,10,4,2019
20191014,10/14/2019,Monday,Oct,10,4,2019
20191015,10/15/2019,Tuesday,Oct,10,4,2019
20191016,10/16/2019,Wednesday,Oct,10,4,2019
20191017,10/17/2019,Thursday,Oct,10,4,2019
20191018,10/18/2019,Friday,Oct,10,4,2019
20191019,10/19/2019,Saturday,Oct,10,4,2019
20191020,10/20/2019,Sunday,Oct,10,4,2019
20191021,10/21/2019,Monday,Oct,10,4,2019
20191022,10/22/2019,Tuesday,Oct,10,4,2019
20191023,10/23/2019,Wednesday,Oct,10,4,2019
20191024,10/24/2019,Thursday,Oct,10,4,2019
20191025,10/25/2019,Friday,Oct,10,4,2019
20191026,10/26/2019,Saturday,Oct,10,4,2019
20191027,10/27/2019,Sunday,Oct,10,4,2019
20191028,10/28/2019,Monday,Oct,10,4,2019
20191029,10/29/2019,Tuesday,Oct,10,4,2019
20191030,10/30/2019,Wednesday,Oct,10,4,2019
20191031,10/31/2019,Thursday,Oct,10,4,2019
20191101,11/1/2019,Friday,Nov,11,4,2019
20191102,11/2/2019,Saturday,Nov,11,4,2019
20191103,11/3/2019,Sunday,Nov,11,4,2019
20191104,11/4/2019,Monday,Nov,11,4,2019
20191105,11/5/2019,Tuesday,Nov,11,4,2019
20191106,11/6/2019,Wednesday,Nov,11,4,2019
20191107,11/7/2019,Thursday,Nov,11,4,2019
20191108,11/8/2019,Friday,Nov,11,4,2019
20191109,11/9/2019,Saturday,Nov,11,4,2019
20191110,11/10/2019,Sunday,Nov,11,4,2019
20191111,11/11/2019,Monday,Nov,11,4,2019
20191112,11/12/2019,Tuesday,Nov,11,4,2019
20191113,11/13/2019,Wednesday,Nov,11,4,2019
20191114,11/14/2019,Thursday,Nov,11,4,2019
20191115,11/15/2019,Friday,Nov,11,4,2019
20191116,11/16/2019,Saturday,Nov,11,4,2019
20191117,11/17/2019,Sunday,Nov,11,4,2019
20191118,11/18/2019,Monday,Nov,11,4,2019
20191119,11/19/2019,Tuesday,Nov,11,4,2019
20191120,11/20/2019,Wednesday,Nov,11,4,2019
20191121,11/21/2019,Thursday,Nov,11,4,2019
20191122,11/22/2019,Friday,Nov,11,4,2019
20191123,11/23/2019,Saturday,Nov,11,4,2019
20191124,11/24/2019,Sunday,Nov,11,4,2019
20191125,11/25/2019,Monday,Nov,11,4,2019
20191126,11/26/2019,Tuesday,Nov,11,4,2019
20191127,11/27/2019,Wednesday,Nov,11,4,2019
20191128,11/28/2019,Thursday,Nov,11,4,2019
20191129,11/29/2019,Friday,Nov,11,4,2019
20191130,11/30/2019,Saturday,Nov,11,4,2019
20191201,12/1/2019,Sunday,Dec,12,4,2019
20191202,12/2/2019,Monday,Dec,12,4,2019
20191203,12/3/2019,Tuesday,Dec,12,4,2019
20191204,12/4/2019,Wednesday,Dec,12,4,2019
20191205,12/5/2019,Thursday,Dec,12,4,2019
20191206,12/6/2019,Friday,Dec,12,4,2019
20191207,12/7/2019,Saturday,Dec,12,4,2019
20191208,12/8/2019,Sunday,Dec,12,4,2019
20191209,12/9/2019,Monday,Dec,12,4,2019
20191210,12/10/2019,Tuesday,Dec,12,4,2019
20191211,12/11/2019,Wednesday,Dec,12,4,2019
20191212,12/12/2019,Thursday,Dec,12,4,2019
20191213,12/13/2019,Friday,Dec,12,4,2019
20191214,12/14/2019,Saturday,Dec,12,4,2019
20191215,12/15/2019,Sunday,Dec,12,4,2019
20191216,12/16/2019,Monday,Dec,12,4,2019
20191217,12/17/2019,Tuesday,Dec,12,4,2019
20191218,12/18/2019,Wednesday,Dec,12,4,2019
20191219,12/19/2019,Thursday,Dec,12,4,2019
20191220,12/20/2019,Friday,Dec,12,4,2019
20191221,12/21/2019,Saturday,Dec,12,4,2019
20191222,12/22/2019,Sunday,Dec,12,4,2019
20191223,12/23/2019,Monday,Dec,12,4,2019
20191224,12/24/2019,Tuesday,Dec,12,4,2019
20191225,12/25/2019,Wednesday,Dec,12,4,2019
20191226,12/26/2019,Thursday,Dec,12,4,2019
20191227,12/27/2019,Friday,Dec,12,4,2019
20191228,12/28/2019,Saturday,Dec,12,4,2019
20191229,12/29/2019,Sunday,Dec,12,4,2019
20191230,12/30/2019,Monday,Dec,12,4,2019
