DateKey,Date,Day,Month,MonthNo,Quarter,Year
20201231,12/31/2020,Thursday,Dec,12,4,2020
20210101,1/1/2021,Friday,Jan,1,1,2021
20210102,1/2/2021,Saturday,Jan,1,1,2021
20210103,1/3/2021,Sunday,Jan,1,1,2021
20210104,1/4/2021,Monday,Jan,1,1,2021
20210105,1/5/2021,Tuesday,Jan,1,1,2021
20210106,1/6/2021,Wednesday,Jan,1,1,2021
20210107,1/7/2021,Thursday,Jan,1,1,2021
20210108,1/8/2021,Friday,Jan,1,1,2021
20210109,1/9/2021,Saturday,Jan,1,1,2021
20210110,1/10/2021,Sunday,Jan,1,1,2021
20210111,1/11/2021,Monday,Jan,1,1,2021
20210112,1/12/2021,Tuesday,Jan,1,1,2021
20210113,1/13/2021,Wednesday,Jan,1,1,2021
20210114,1/14/2021,Thursday,Jan,1,1,2021
20210115,1/15/2021,Friday,Jan,1,1,2021
20210116,1/16/2021,Saturday,Jan,1,1,2021
20210117,1/17/2021,Sunday,Jan,1,1,2021
20210118,1/18/2021,Monday,Jan,1,1,2021
20210119,1/19/2021,Tuesday,Jan,1,1,2021
20210120,1/20/2021,Wednesday,Jan,1,1,2021
20210121,1/21/2021,Thursday,Jan,1,1,2021
20210122,1/22/2021,Friday,Jan,1,1,2021
20210123,1/23/2021,Saturday,Jan,1,1,2021
20210124,1/24/2021,Sunday,Jan,1,1,2021
20210125,1/25/2021,Monday,Jan,1,1,2021
20210126,1/26/2021,Tuesday,Jan,1,1,2021
20210127,1/27/2021,Wednesday,Jan,1,1,2021
20210128,1/28/2021,Thursday,Jan,1,1,2021
20210129,1/29/2021,Friday,Jan,1,1,2021
20210130,1/30/2021,Saturday,Jan,1,1,2021
20210131,1/31/2021,Sunday,Jan,1,1,2021
20210201,2/1/2021,Monday,Feb,2,1,2021
20210202,2/2/2021,Tuesday,Feb,2,1,2021
20210203,2/3/2021,Wednesday,Feb,2,1,2021
20210204,2/4/2021,Thursday,Feb,2,1,2021
20210205,2/5/2021,Friday,Feb,2,1,2021
20210206,2/6/2021,Saturday,Feb,2,1,2021
20210207,2/7/2021,Sunday,Feb,2,1,2021
20210208,2/8/2021,Monday,Feb,2,1,2021
20210209,2/9/2021,Tuesday,Feb,2,1,2021
20210210,2/10/2021,Wednesday,Feb,2,1,2021
20210211,2/11/2021,Thursday,Feb,2,1,2021
20210212,2/12/2021,Friday,Feb,2,1,2021
20210213,2/13/2021,Saturday,Feb,2,1,2021
20210214,2/14/2021,Sunday,Feb,2,1,2021
20210215,2/15/2021,Monday,Feb,2,1,2021
20210216,2/16/2021,Tuesday,Feb,2,1,2021
20210217,2/17/2021,Wednesday,Feb,2,1,2021
20210218,2/18/2021,Thursday,Feb,2,1,2021
20210219,2/19/2021,Friday,Feb,2,1,2021
20210220,2/20/2021,Saturday,Feb,2,1,2021
20210221,2/21/2021,Sunday,Feb,2,1,2021
20210222,2/22/2021,Monday,Feb,2,1,2021
20210223,2/23/2021,Tuesday,Feb,2,1,2021
20210224,2/24/2021,Wednesday,Feb,2,1,2021
20210225,2/25/2021,Thursday,Feb,2,1,2021
20210226,2/26/2021,Friday,Feb,2,1,2021
20210227,2/27/2021,Saturday,Feb,2,1,2021
20210228,2/28/2021,Sunday,Feb,2,1,2021
20210301,3/1/2021,Monday,Mar,3,1,2021
20210302,3/2/2021,Tuesday,Mar,3,1,2021
20210303,3/3/2021,Wednesday,Mar,3,1,2021
20210304,3/4/2021,Thursday,Mar,3,1,2021
20210305,3/5/2021,Friday,Mar,3,1,2021
20210306,3/6/2021,Saturday,Mar,3,1,2021
20210307,3/7/2021,Sunday,Mar,3,1,2021
20210308,3/8/2021,Monday,Mar,3,1,2021
20210309,3/9/2021,Tuesday,Mar,3,1,2021
20210310,3/10/2021,Wednesday,Mar,3,1,2021
20210311,3/11/2021,Thursday,Mar,3,1,2021
20210312,3/12/2021,Friday,Mar,3,1,2021
20210313,3/13/2021,Saturday,Mar,3,1,2021
20210314,3/14/2021,Sunday,Mar,3,1,2021
20210315,3/15/2021,Monday,Mar,3,1,2021
20210316,3/16/2021,Tuesday,Mar,3,1,2021
20210317,3/17/2021,Wednesday,Mar,3,1,2021
20210318,3/18/2021,Thursday,Mar,3,1,2021
20210319,3/19/2021,Friday,Mar,3,1,2021
20210320,3/20/2021,Saturday,Mar,3,1,2021
20210321,3/21/2021,Sunday,Mar,3,1,2021
20210322,3/22/2021,Monday,Mar,3,1,2021
20210323,3/23/2021,Tuesday,Mar,3,1,2021
20210324,3/24/2021,Wednesday,Mar,3,1,2021
20210325,3/25/2021,Thursday,Mar,3,1,2021
20210326,3/26/2021,Friday,Mar,3,1,2021
20210327,3/27/2021,Saturday,Mar,3,1,2021
20210328,3/28/2021,Sunday,Mar,3,1,2021
20210329,3/29/2021,Monday,Mar,3,1,2021
20210330,3/30/2021,Tuesday,Mar,3,1,2021
20210331,3/31/2021,Wednesday,Mar,3,1,2021
20210401,4/1/2021,Thursday,Apr,4,2,2021
20210402,4/2/2021,Friday,Apr,4,2,2021
20210403,4/3/2021,Saturday,Apr,4,2,2021
20210404,4/4/2021,Sunday,Apr,4,2,2021
20210405,4/5/2021,Monday,Apr,4,2,2021
20210406,4/6/2021,Tuesday,Apr,4,2,2021
20210407,4/7/2021,Wednesday,Apr,4,2,2021
20210408,4/8/2021,Thursday,Apr,4,2,2021
20210409,4/9/2021,Friday,Apr,4,2,2021
20210410,4/10/2021,Saturday,Apr,4,2,2021
20210411,4/11/2021,Sunday,Apr,4,2,2021
20210412,4/12/2021,Monday,Apr,4,2,2021
20210413,4/13/2021,Tuesday,Apr,4,2,2021
20210414,4/14/2021,Wednesday,Apr,4,2,2021
20210415,4/15/2021,Thursday,Apr,4,2,2021
20210416,4/16/2021,Friday,Apr,4,2,2021
20210417,4/17/2021,Saturday,Apr,4,2,2021
20210418,4/18/2021,Sunday,Apr,4,2,2021
20210419,4/19/2021,Monday,Apr,4,2,2021
20210420,4/20/2021,Tuesday,Apr,4,2,2021
20210421,4/21/2021,Wednesday,Apr,4,2,2021
20210422,4/22/2021,Thursday,Apr,4,2,2021
20210423,4/23/2021,Friday,Apr,4,2,2021
20210424,4/24/2021,Saturday,Apr,4,2,2021
20210425,4/25/2021,Sunday,Apr,4,2,2021
20210426,4/26/2021,Monday,Apr,4,2,2021
20210427,4/27/2021,Tuesday,Apr,4,2,2021
20210428,4/28/2021,Wednesday,Apr,4,2,2021
20210429,4/29/2021,Thursday,Apr,4,2,2021
20210430,4/30/2021,Friday,Apr,4,2,2021
20210501,5/1/2021,Saturday,May,5,2,2021
20210502,5/2/2021,Sunday,May,5,2,2021
20210503,5/3/2021,Monday,May,5,2,2021
20210504,5/4/2021,Tuesday,May,5,2,2021
20210505,5/5/2021,Wednesday,May,5,2,2021
20210506,5/6/2021,Thursday,May,5,2,2021
20210507,5/7/2021,Friday,May,5,2,2021
20210508,5/8/2021,Saturday,May,5,2,2021
20210509,5/9/2021,Sunday,May,5,2,2021
20210510,5/10/2021,Monday,May,5,2,2021
20210511,5/11/2021,Tuesday,May,5,2,2021
20210512,5/12/2021,Wednesday,May,5,2,2021
20210513,5/13/2021,Thursday,May,5,2,2021
20210514,5/14/2021,Friday,May,5,2,2021
20210515,5/15/2021,Saturday,May,5,2,2021
20210516,5/16/2021,Sunday,May,5,2,2021
20210517,5/17/2021,Monday,May,5,2,2021
20210518,5/18/2021,Tuesday,May,5,2,2021
20210519,5/19/2021,Wednesday,May,5,2,2021
20210520,5/20/2021,Thursday,May,5,2,2021
20210521,5/21/2021,Friday,May,5,2,2021
20210522,5/22/2021,Saturday,May,5,2,2021
20210523,5/23/2021,Sunday,May,5,2,2021
20210524,5/24/2021,Monday,May,5,2,2021
20210525,5/25/2021,Tuesday,May,5,2,2021
20210526,5/26/2021,Wednesday,May,5,2,2021
20210527,5/27/2021,Thursday,May,5,2,2021
20210528,5/28/2021,Friday,May,5,2,2021
20210529,5/29/2021,Saturday,May,5,2,2021
20210530,5/30/2021,Sunday,May,5,2,2021
20210531,5/31/2021,Monday,May,5,2,2021
20210601,6/1/2021,Tuesday,Jun,6,2,2021
20210602,6/2/2021,Wednesday,Jun,6,2,2021
20210603,6/3/2021,Thursday,Jun,6,2,2021
20210604,6/4/2021,Friday,Jun,6,2,2021
20210605,6/5/2021,Saturday,Jun,6,2,2021
20210606,6/6/2021,Sunday,Jun,6,2,2021
20210607,6/7/2021,Monday,Jun,6,2,2021
20210608,6/8/2021,Tuesday,Jun,6,2,2021
20210609,6/9/2021,Wednesday,Jun,6,2,2021
20210610,6/10/2021,Thursday,Jun,6,2,2021
20210611,6/11/2021,Friday,Jun,6,2,2021
20210612,6/12/2021,Saturday,Jun,6,2,2021
20210613,6/13/2021,Sunday,Jun,6,2,2021
20210614,6/14/2021,Monday,Jun,6,2,2021
20210615,6/15/2021,Tuesday,Jun,6,2,2021
20210616,6/16/2021,Wednesday,Jun,6,2,2021
20210617,6/17/2021,Thursday,Jun,6,2,2021
20210618,6/18/2021,Friday,Jun,6,2,2021
20210619,6/19/2021,Saturday,Jun,6,2,2021
20210620,6/20/2021,Sunday,Jun,6,2,2021
20210621,6/21/2021,Monday,Jun,6,2,2021
20210622,6/22/2021,Tuesday,Jun,6,2,2021
20210623,6/23/2021,Wednesday,Jun,6,2,2021
20210624,6/24/2021,Thursday,Jun,6,2,2021
20210625,6/25/2021,Friday,Jun,6,2,2021
20210626,6/26/2021,Saturday,Jun,6,2,2021
20210627,6/27/2021,Sunday,Jun,6,2,2021
20210628,6/28/2021,Monday,Jun,6,2,2021
20210629,6/29/2021,Tuesday,Jun,6,2,2021
20210630,6/30/2021,Wednesday,Jun,6,2,2021
20210701,7/1/2021,Thursday,Jul,7,3,2021
20210702,7/2/2021,Friday,Jul,7,3,2021
20210703,7/3/2021,Saturday,Jul,7,3,2021
20210704,7/4/2021,Sunday,Jul,7,3,2021
20210705,7/5/2021,Monday,Jul,7,3,2021
20210706,7/6/2021,Tuesday,Jul,7,3,2021
20210707,7/7/2021,Wednesday,Jul,7,3,2021
20210708,7/8/2021,Thursday,Jul,7,3,2021
20210709,7/9/2021,Friday,Jul,7,3,2021
20210710,7/10/2021,Saturday,Jul,7,3,2021
20210711,7/11/2021,Sunday,Jul,7,3,2021
20210712,7/12/2021,Monday,Jul,7,3,2021
20210713,7/13/2021,Tuesday,Jul,7,3,2021
20210714,7/14/2021,Wednesday,Jul,7,3,2021
20210715,7/15/2021,Thursday,Jul,7,3,2021
20210716,7/16/2021,Friday,Jul,7,3,2021
20210717,7/17/2021,Saturday,Jul,7,3,2021
20210718,7/18/2021,Sunday,Jul,7,3,2021
20210719,7/19/2021,Monday,Jul,7,3,2021
20210720,7/20/2021,Tuesday,Jul,7,3,2021
20210721,7/21/2021,Wednesday,Jul,7,3,2021
20210722,7/22/2021,Thursday,Jul,7,3,2021
20210723,7/23/2021,Friday,Jul,7,3,2021
20210724,7/24/2021,Saturday,Jul,7,3,2021
20210725,7/25/2021,Sunday,Jul,7,3,2021
20210726,7/26/2021,Monday,Jul,7,3,2021
20210727,7/27/2021,Tuesday,Jul,7,3,2021
20210728,7/28/2021,Wednesday,Jul,7,3,2021
20210729,7/29/2021,Thursday,Jul,7,3,2021
20210730,7/30/2021,Friday,Jul,7,3,2021
20210731,7/31/2021,Saturday,Jul,7,3,2021
20210801,8/1/2021,Sunday,Aug,8,3,2021
20210802,8/2/2021,Monday,Aug,8,3,2021
20210803,8/3/2021,Tuesday,Aug,8,3,2021
20210804,8/4/2021,Wednesday,Aug,8,3,2021
20210805,8/5/2021,Thursday,Aug,8,3,2021
20210806,8/6/2021,Friday,Aug,8,3,2021
20210807,8/7/2021,Saturday,Aug,8,3,2021
20210808,8/8/2021,Sunday,Aug,8,3,2021
20210809,8/9/2021,Monday,Aug,8,3,2021
20210810,8/10/2021,Tuesday,Aug,8,3,2021
20210811,8/11/2021,Wednesday,Aug,8,3,2021
20210812,8/12/2021,Thursday,Aug,8,3,2021
20210813,8/13/2021,Friday,Aug,8,3,2021
20210814,8/14/2021,Saturday,Aug,8,3,2021
20210815,8/15/2021,Sunday,Aug,8,3,2021
20210816,8/16/2021,Monday,Aug,8,3,2021
20210817,8/17/2021,Tuesday,Aug,8,3,2021
20210818,8/18/2021,Wednesday,Aug,8,3,2021
20210819,8/19/2021,Thursday,Aug,8,3,2021
20210820,8/20/2021,Friday,Aug,8,3,2021
20210821,8/21/2021,Saturday,Aug,8,3,2021
20210822,8/22/2021,Sunday,Aug,8,3,2021
20210823,8/23/2021,Monday,Aug,8,3,2021
20210824,8/24/2021,Tuesday,Aug,8,3,2021
20210825,8/25/2021,Wednesday,Aug,8,3,2021
20210826,8/26/2021,Thursday,Aug,8,3,2021
20210827,8/27/2021,Friday,Aug,8,3,2021
20210828,8/28/2021,Saturday,Aug,8,3,2021
20210829,8/29/2021,Sunday,Aug,8,3,2021
20210830,8/30/2021,Monday,Aug,8,3,2021
20210831,8/31/2021,Tuesday,Aug,8,3,2021
20210901,9/1/2021,Wednesday,Sep,9,3,2021
20210902,9/2/2021,Thursday,Sep,9,3,2021
20210903,9/3/2021,Friday,Sep,9,3,2021
20210904,9/4/2021,Saturday,Sep,9,3,2021
20210905,9/5/2021,Sunday,Sep,9,3,2021
20210906,9/6/2021,Monday,Sep,9,3,2021
20210907,9/7/2021,Tuesday,Sep,9,3,2021
20210908,9/8/2021,Wednesday,Sep,9,3,2021
20210909,9/9/2021,Thursday,Sep,9,3,2021
20210910,9/10/2021,Friday,Sep,9,3,2021
20210911,9/11/2021,Saturday,Sep,9,3,2021
20210912,9/12/2021,Sunday,Sep,9,3,2021
20210913,9/13/2021,Monday,Sep,9,3,2021
20210914,9/14/2021,Tuesday,Sep,9,3,2021
20210915,9/15/2021,Wednesday,Sep,9,3,2021
20210916,9/16/2021,Thursday,Sep,9,3,2021
20210917,9/17/2021,Friday,Sep,9,3,2021
20210918,9/18/2021,Saturday,Sep,9,3,2021
20210919,9/19/2021,Sunday,Sep,9,3,2021
20210920,9/20/2021,Monday,Sep,9,3,2021
20210921,9/21/2021,Tuesday,Sep,9,3,2021
20210922,9/22/2021,Wednesday,Sep,9,3,2021
20210923,9/23/2021,Thursday,Sep,9,3,2021
20210924,9/24/2021,Friday,Sep,9,3,2021
20210925,9/25/2021,Saturday,Sep,9,3,2021
20210926,9/26/2021,Sunday,Sep,9,3,2021
20210927,9/27/2021,Monday,Sep,9,3,2021
20210928,9/28/2021,Tuesday,Sep,9,3,2021
20210929,9/29/2021,Wednesday,Sep,9,3,2021
20210930,9/30/2021,Thursday,Sep,9,3,2021
20211001,10/1/2021,Friday,Oct,10,4,2021
20211002,10/2/2021,Saturday,Oct,10,4,2021
20211003,10/3/2021,Sunday,Oct,10,4,2021
20211004,10/4/2021,Monday,Oct,10,4,2021
20211005,10/5/2021,Tuesday,Oct,10,4,2021
20211006,10/6/2021,Wednesday,Oct,10,4,2021
20211007,10/7/2021,Thursday,Oct,10,4,2021
20211008,10/8/2021,Friday,Oct,10,4,2021
20211009,10/9/2021,Saturday,Oct,10,4,2021
20211010,10/10/2021,Sunday,Oct,10,4,2021
20211011,10/11/2021,Monday,Oct,10,4,2021
20211012,10/12/2021,Tuesday,Oct,10,4,2021
20211013,10/13/2021,Wednesday,Oct,10,4,2021
20211014,10/14/2021,Thursday,Oct,10,4,2021
20211015,10/15/2021,Friday,Oct,10,4,2021
20211016,10/16/2021,Saturday,Oct,10,4,2021
20211017,10/17/2021,Sunday,Oct,10,4,2021
20211018,10/18/2021,Monday,Oct,10,4,2021
20211019,10/19/2021,Tuesday,Oct,10,4,2021
20211020,10/20/2021,Wednesday,Oct,10,4,2021
20211021,10/21/2021,Thursday,Oct,10,4,2021
20211022,10/22/2021,Friday,Oct,10,4,2021
20211023,10/23/2021,Saturday,Oct,10,4,2021
20211024,10/24/2021,Sunday,Oct,10,4,2021
20211025,10/25/2021,Monday,Oct,10,4,2021
20211026,10/26/2021,Tuesday,Oct,10,4,2021
20211027,10/27/2021,Wednesday,Oct,10,4,2021
20211028,10/28/2021,Thursday,Oct,10,4,2021
20211029,10/29/2021,Friday,Oct,10,4,2021
20211030,10/30/2021,Saturday,Oct,10,4,2021
20211031,10/31/2021,Sunday,Oct,10,4,2021
20211101,11/1/2021,Monday,Nov,11,4,2021
20211102,11/2/2021,Tuesday,Nov,11,4,2021
20211103,11/3/2021,Wednesday,Nov,11,4,2021
20211104,11/4/2021,Thursday,Nov,11,4,2021
20211105,11/5/2021,Friday,Nov,11,4,2021
20211106,11/6/2021,Saturday,Nov,11,4,2021
20211107,11/7/2021,Sunday,Nov,11,4,2021
20211108,11/8/2021,Monday,Nov,11,4,2021
20211109,11/9/2021,Tuesday,Nov,11,4,2021
20211110,11/10/2021,Wednesday,Nov,11,4,2021
20211111,11/11/2021,Thursday,Nov,11,4,2021
20211112,11/12/2021,Friday,Nov,11,4,2021
20211113,11/13/2021,Saturday,Nov,11,4,2021
20211114,11/14/2021,Sunday,Nov,11,4,2021
20211115,11/15/2021,Monday,Nov,11,4,2021
20211116,11/16/2021,Tuesday,Nov,11,4,2021
20211117,11/17/2021,Wednesday,Nov,11,4,2021
20211118,11/18/2021,Thursday,Nov,11,4,2021
20211119,11/19/2021,Friday,Nov,11,4,2021
20211120,11/20/2021,Saturday,Nov,11,4,2021
20211121,11/21/2021,Sunday,Nov,11,4,2021
20211122,11/22/2021,Monday,Nov,11,4,2021
20211123,11/23/2021,Tuesday,Nov,11,4,2021
20211124,11/24/2021,Wednesday,Nov,11,4,2021
20211125,11/25/2021,Thursday,Nov,11,4,2021
20211126,11/26/2021,Friday,Nov,11,4,2021
20211127,11/27/2021,Saturday,Nov,11,4,2021
20211128,11/28/2021,Sunday,Nov,11,4,2021
20211129,11/29/2021,Monday,Nov,11,4,2021
20211130,11/30/2021,Tuesday,Nov,11,4,2021
20211201,12/1/2021,Wednesday,Dec,12,4,2021
20211202,12/2/2021,Thursday,Dec,12,4,2021
20211203,12/3/2021,Friday,Dec,12,4,2021
20211204,12/4/2021,Saturday,Dec,12,4,2021
20211205,12/5/2021,Sunday,Dec,12,4,2021
20211206,12/6/2021,Monday,Dec,12,4,2021
20211207,12/7/2021,Tuesday,Dec,12,4,2021
20211208,12/8/2021,Wednesday,Dec,12,4,2021
20211209,12/9/2021,Thursday,Dec,12,4,2021
20211210,12/10/2021,Friday,Dec,12,4,2021
20211211,12/11/2021,Saturday,Dec,12,4,2021
20211212,12/12/2021,Sunday,Dec,12,4,2021
20211213,12/13/2021,Monday,Dec,12,4,2021
20211214,12/14/2021,Tuesday,Dec,12,4,2021
20211215,12/15/2021,Wednesday,Dec,12,4,2021
20211216,12/16/2021,Thursday,Dec,12,4,2021
20211217,12/17/2021,Friday,Dec,12,4,2021
20211218,12/18/2021,Saturday,Dec,12,4,2021
20211219,12/19/2021,Sunday,Dec,12,4,2021
20211220,12/20/2021,Monday,Dec,12,4,2021
20211221,12/21/2021,Tuesday,Dec,12,4,2021
20211222,12/22/2021,Wednesday,Dec,12,4,2021
20211223,12/23/2021,Thursday,Dec,12,4,2021
20211224,12/24/2021,Friday,Dec,12,4,2021
20211225,12/25/2021,Saturday,Dec,12,4,2021
20211226,12/26/2021,Sunday,Dec,12,4,2021
20211227,12/27/2021,Monday,Dec,12,4,2021
20211228,12/28/2021,Tuesday,Dec,12,4,2021
20211229,12/29/2021,Wednesday,Dec,12,4,2021
20211230,12/30/2021,Thursday,Dec,12,4,2021
20211231,12/31/2021,Friday,Dec,12,4,2021
